Algoritmo,Tamanho Array,Tempo Médio Ordenação,Tempo Ordenação Crescente,Tempo Ordenação Decrescente
Bubble Sort,1000,1086.8,0,15675
Bubble Sort,5000,41909.8,0,44790
Bubble Sort,10000,182481,0,197684
Bubble Sort,20000,860771.7,0,798875
Bubble Sort,50000,6379120.1,0,5192925
Bubble Sort,100000,26049893.5,0,20100309
Selection Sort,1000,1568.5,997,534
Selection Sort,5000,26255.6,25395,27397
Selection Sort,10000,101483.5,99318,105557
Selection Sort,20000,403061.6,401558,496234
Selection Sort,50000,2545077.6,2560224,4530372
Selection Sort,100000,10236357.5,10135817,16194713
Insertion Sort,1000,961,0,2086
Insertion Sort,5000,16278.4,0,31839
Insertion Sort,10000,65432.7,0,128306
Insertion Sort,20000,257819.2,0,512691
Insertion Sort,50000,1620090.8,0,3377523
Insertion Sort,100000,6505584.4,0,13169159
Counting Sort,1000,233.7,0,0
Counting Sort,5000,0,0,0
Counting Sort,10000,162.2,0,1000
Counting Sort,20000,625.4,1033,1000
Counting Sort,50000,961.8,379,1001
Counting Sort,100000,1037.2,1437,1034
Heap Sort,1000,99.5,0,0
Heap Sort,5000,975.8,0,1006
Heap Sort,10000,2116.2,1004,1992
Heap Sort,20000,3646.1,3046,2742
Heap Sort,50000,9059.5,7260,6388
Heap Sort,100000,19038.2,14768,14433
Merge Sort,1000,258,1003,0
Merge Sort,5000,1653.4,539,1013
Merge Sort,10000,2363.4,0,1999
Merge Sort,20000,4988.2,4005,3603
Merge Sort,50000,12714.6,9362,9592
Merge Sort,100000,25649.5,18458,19593
Tim Sort,1000,200.1,0,0
Tim Sort,5000,772.9,0,536
Tim Sort,10000,1486.3,1000,1000
Tim Sort,20000,2648.6,547,2039
Tim Sort,50000,6322.3,2999,4024
Tim Sort,100000,13273.8,6075,9404
Quick Sort,1000,0,0,0
Quick Sort,5000,936.3,510,0
Quick Sort,10000,2085.8,2000,2000
Quick Sort,20000,3749.7,3000,3000
Quick Sort,50000,12223,55556,8576
Quick Sort,100000,72714.9,304765,15624
Shell Sort,1000,155.2,0,0
Shell Sort,5000,942,0,0
Shell Sort,10000,1646.5,0,0
Shell Sort,20000,3349,549,5531
Shell Sort,50000,8799.9,1001,2178
Shell Sort,100000,18632.7,3043,3999
Radix Sort,1000,99.6,0,66
Radix Sort,5000,657.1,1004,0
Radix Sort,10000,1184.2,993,0
Radix Sort,20000,1754.5,1009,1000
Radix Sort,50000,3886.7,4011,4400
Radix Sort,100000,7891.5,7596,7096